year,state_name,Levels Of Crime,Category,Value
2012,New York,Level 2,Aggravated Assault,47382
2002,New York,Level 3,Motor Vehicle Theft,47366
2004,New York,Level 2,Aggravated Assault,46911
2005,New York,Level 2,Aggravated Assault,46150
2013,New York,Level 2,Aggravated Assault,46130
2011,New York,Level 2,Aggravated Assault,45538
2006,New York,Level 2,Aggravated Assault,45467
2014,New York,Level 2,Aggravated Assault,45295
2003,New York,Level 3,Motor Vehicle Theft,45204
2007,New York,Level 2,Aggravated Assault,45144
2002,Illinois,Level 2,Aggravated Assault,45114
2002,Illinois,Level 3,Motor Vehicle Theft,44812
2015,New York,Level 2,Aggravated Assault,44493
2010,New York,Level 2,Aggravated Assault,44197
2015,New York,Level 3,Burglary,44117
1999,New York,Level 3,Robbery,43821
2009,New York,Level 2,Aggravated Assault,43606
1995,Florida,Level 3,Robbery,42485
2005,Illinois,Level 2,Aggravated Assault,42158
2008,New York,Level 2,Aggravated Assault,42125
2004,Illinois,Level 2,Aggravated Assault,41783
1996,Florida,Level 3,Robbery,41643
2003,Illinois,Level 3,Motor Vehicle Theft,41633
2003,Illinois,Level 2,Aggravated Assault,41506
2006,Ohio,Level 2,Violent Crime,41491
2010,Florida,Level 3,Motor Vehicle Theft,41462
2004,New York,Level 3,Motor Vehicle Theft,41002
2015,Florida,Level 3,Motor Vehicle Theft,40661
2007,Illinois,Level 2,Aggravated Assault,40573
2000,New York,Level 3,Robbery,40539
1997,Florida,Level 3,Robbery,40459
2004,Illinois,Level 3,Motor Vehicle Theft,40373
2011,Florida,Level 3,Motor Vehicle Theft,39621
2005,Illinois,Level 3,Motor Vehicle Theft,39373
1995,Illinois,Level 3,Robbery,39139
2014,Georgia,Level 2,Violent Crime,38955
2015,Georgia,Level 2,Violent Crime,38891
2008,Illinois,Level 2,Aggravated Assault,38818
2007,Texas,Level 3,Robbery,38778
2007,Florida,Level 3,Robbery,38155
2009,Texas,Level 3,Robbery,38022
2006,Ohio,Level 3,Motor Vehicle Theft,37977
2008,Texas,Level 3,Robbery,37739
2002,Texas,Level 3,Robbery,37580
2013,Georgia,Level 2,Violent Crime,37519
2012,Florida,Level 3,Motor Vehicle Theft,37330
2006,Texas,Level 3,Robbery,37256
2003,Texas,Level 3,Robbery,37017
2002,New York,Level 3,Robbery,36653
2009,Illinois,Level 2,Aggravated Assault,36588
2001,New York,Level 3,Robbery,36555
2010,Ohio,Level 2,Violent Crime,36306
2008,Florida,Level 3,Robbery,36268
1998,Florida,Level 3,Robbery,36198
2014,Florida,Level 3,Motor Vehicle Theft,36198
2004,Texas,Level 3,Robbery,35817
2003,New York,Level 3,Robbery,35790
